title,owner,like,view,mid,bvid,url,author_href,author,following,follower,like_author,video_view,article_view
四个方法帮你找到自己的优势和人生热爱,自由的大鱼星球,3555,74953,1148694243,BV1k3411P7vr,https://www.bilibili.com/video/BV1k3411P7vr,https://space.bilibili.com/1148694243,自由的大鱼星球,5,4658,6936,199637,0
桃子姐和兄弟姐妹相约野餐，做一大盆钵钵鸡，外加小吃，真满足,蜀中桃子姐,7480,168693,351498044,BV1JS4y1w7nj,https://www.bilibili.com/video/BV1JS4y1w7nj,https://space.bilibili.com/351498044,蜀中桃子姐,36,324549,4012183,89886110,0
好听到起飞~《爱的飞行日记》周杰伦Cover-吉他弹唱翻唱-大树音乐屋,大树音乐屋,1314,18387,258556829,BV1Xa41177Ch,https://www.bilibili.com/video/BV1Xa41177Ch,https://space.bilibili.com/258556829,大树音乐屋,17,332982,852817,32585922,9036
【525喜羊羊生日直播】喜羊羊，你今年的生日愿望是什么呀？,灰太狼办公室,10676,47848,31832612,BV1Dv4y1A7hq,https://www.bilibili.com/video/BV1Dv4y1A7hq,https://space.bilibili.com/31832612,灰太狼办公室,7,1232124,13019941,164240945,459228
【航海日记】海上遇见风暴是好事？一人一狗冲向印度洋！,Peter皮皮航海日记,4010,81812,1553338892,BV1aF411T7rB,https://www.bilibili.com/video/BV1aF411T7rB,https://space.bilibili.com/1553338892,Peter皮皮航海日记,13,37401,36399,1198509,0
【高考化学冲刺】有机化学选择题重点精华|有机背多分，抓住最后机会！,一化儿,6002,94823,1526560679,BV1sU4y1U7Lb,https://www.bilibili.com/video/BV1sU4y1U7Lb,https://space.bilibili.com/1526560679,一化儿,3,682635,630704,11651455,57451
10分钟居家全身高效爆汗燃脂，平坦小腹赘肉瘦全身,i小小李,1090,38652,588071111,BV1u541127Gz,https://www.bilibili.com/video/BV1u541127Gz,https://space.bilibili.com/588071111,i小小李,6,30392,50785,1300389,0
2023王道数据结构课后算法题- 037 - P41_23,王道论坛,0,34,95228778,BV15v4y1P76D,https://www.bilibili.com/video/BV15v4y1P76D,https://space.bilibili.com/95228778,王道论坛,2,284083,333880,19724391,0
对于这么倔的品种，年龄这么大，脾气还这么凶，如何快速收敛它的脾气，琪哥教你一招搞定！,训犬师-琪哥,1492,39310,524523125,BV1ZU4y127e7,https://www.bilibili.com/video/BV1ZU4y127e7,https://space.bilibili.com/524523125,训犬师-琪哥,23,67640,359224,12559871,0
一集就破防！被大部人遗忘的新番!不仅制作用心，甚至还有纯爱？！,马达加斯加腌鱼,10094,248265,18225328,BV1V34y1E7gS,https://www.bilibili.com/video/BV1V34y1E7gS,https://space.bilibili.com/18225328,马达加斯加腌鱼,97,515041,5601886,108772999,11287
怎么办 我养的小老鼠生病了,厄风琉斯,24495,469781,246251134,BV1pT4y167gi,https://www.bilibili.com/video/BV1pT4y167gi,https://space.bilibili.com/246251134,厄风琉斯,31,249118,1970219,43520831,0
英国高中生看网友们对英国人的吐槽,任性的KIMKILLS,67374,1238315,25623387,BV1qY4y187y8,https://www.bilibili.com/video/BV1qY4y187y8,https://space.bilibili.com/25623387,任性的KIMKILLS,28,1465811,42298187,689055215,44403
职场必备技能🔥3招高情商回答❗️❗️,江雪的成长小窝,2070,49578,1022175770,BV1YL4y1F7s9,https://www.bilibili.com/video/BV1YL4y1F7s9,https://space.bilibili.com/1022175770,江雪的成长小窝,5,74927,136671,2453757,0
真男人从不回头看爆炸，韩 服 王 者 就 这？#120,yizhilugou,39748,1106512,439004370,BV1Er4y187as,https://www.bilibili.com/video/BV1Er4y187as,https://space.bilibili.com/439004370,yizhilugou,47,1008587,10219141,178035331,82186
做技术，钱既重要又不重要：正高级分享几十年的科研宝贵经验。,手抓引力波,5335,160963,434725018,BV1Ri4y1m7nV,https://www.bilibili.com/video/BV1Ri4y1m7nV,https://space.bilibili.com/434725018,手抓引力波,84,82347,363691,7656049,14843
